r	z	sc	eng	energy_estimate
10.130000	0.040000	-0.100000	5000.000000	0.834830
2.000000	0.080000	-0.100000	5000.000000	0.960258
3.000000	0.080000	-0.100000	5000.000000	0.946498
4.500000	0.080000	-0.100000	5000.000000	0.921041
6.750000	0.080000	-0.100000	5000.000000	0.971453
10.130000	0.080000	-0.100000	5000.000000	0.861097
2.000000	0.160000	-0.100000	5000.000000	0.951198
3.000000	0.160000	-0.100000	5000.000000	0.933813
4.500000	0.160000	-0.100000	5000.000000	0.917588
6.750000	0.160000	-0.100000	5000.000000	0.976254
10.130000	0.160000	-0.100000	5000.000000	0.893189
2.000000	0.320000	-0.100000	5000.000000	0.949490
3.000000	0.320000	-0.100000	5000.000000	0.930414
4.500000	0.320000	-0.100000	5000.000000	0.916259
6.750000	0.320000	-0.100000	5000.000000	0.979608
10.130000	0.320000	-0.100000	5000.000000	0.926954
2.000000	0.640000	-0.100000	5000.000000	0.949822
3.000000	0.640000	-0.100000	5000.000000	0.931554
4.500000	0.640000	-0.100000	5000.000000	0.925356
6.750000	0.640000	-0.100000	5000.000000	0.981475
10.130000	0.640000	-0.100000	5000.000000	0.958082
2.000000	1.280000	-0.100000	5000.000000	0.953678
3.000000	1.280000	-0.100000	5000.000000	0.942847
4.500000	1.280000	-0.100000	5000.000000	0.946458
6.750000	1.280000	-0.100000	5000.000000	0.982368
10.130000	1.280000	-0.100000	5000.000000	0.981096
15.190000	1.280000	-0.100000	5000.000000	0.992773
2.000000	2.560000	-0.100000	5000.000000	0.966818
3.000000	2.560000	-0.100000	5000.000000	0.964830
4.500000	2.560000	-0.100000	5000.000000	0.969536
6.750000	2.560000	-0.100000	5000.000000	0.984839
10.130000	2.560000	-0.100000	5000.000000	0.991284
15.190000	2.560000	-0.100000	5000.000000	0.991807
4.500000	0.020000	-0.100000	4700.000000	0.926503
6.750000	0.020000	-0.100000	4700.000000	0.964801
10.130000	0.020000	-0.100000	4700.000000	0.835782
2.000000	0.040000	-0.100000	4700.000000	0.966913
3.000000	0.040000	-0.100000	4700.000000	0.955571
4.500000	0.040000	-0.100000	4700.000000	0.924359
6.750000	0.040000	-0.100000	4700.000000	0.966432
10.130000	0.040000	-0.100000	4700.000000	0.830608
2.000000	0.080000	-0.100000	4700.000000	0.960251
3.000000	0.080000	-0.100000	4700.000000	0.946491
4.500000	0.080000	-0.100000	4700.000000	0.921030
6.750000	0.080000	-0.100000	4700.000000	0.971283
10.130000	0.080000	-0.100000	4700.000000	0.857430
2.000000	0.160000	-0.100000	4700.000000	0.951188
3.000000	0.160000	-0.100000	4700.000000	0.933804
4.500000	0.160000	-0.100000	4700.000000	0.917580
6.750000	0.160000	-0.100000	4700.000000	0.976157
10.130000	0.160000	-0.100000	4700.000000	0.890517
2.000000	0.320000	-0.100000	4700.000000	0.949477
3.000000	0.320000	-0.100000	4700.000000	0.930404
4.500000	0.320000	-0.100000	4700.000000	0.916251
6.750000	0.320000	-0.100000	4700.000000	0.979552
10.130000	0.320000	-0.100000	4700.000000	0.925317
2.000000	0.640000	-0.100000	4700.000000	0.949809
3.000000	0.640000	-0.100000	4700.000000	0.931545
4.500000	0.640000	-0.100000	4700.000000	0.925350
6.750000	0.640000	-0.100000	4700.000000	0.981448
10.130000	0.640000	-0.100000	4700.000000	0.957291
2.000000	1.280000	-0.100000	4700.000000	0.953663
3.000000	1.280000	-0.100000	4700.000000	0.942836
4.500000	1.280000	-0.100000	4700.000000	0.946448
6.750000	1.280000	-0.100000	4700.000000	0.982352
10.130000	1.280000	-0.100000	4700.000000	0.980835
15.190000	1.280000	-0.100000	4700.000000	0.992774
2.000000	2.560000	-0.100000	4700.000000	0.966802
3.000000	2.560000	-0.100000	4700.000000	0.964816
4.500000	2.560000	-0.100000	4700.000000	0.969522
6.750000	2.560000	-0.100000	4700.000000	0.984824
10.130000	2.560000	-0.100000	4700.000000	0.991247
15.190000	2.560000	-0.100000	4700.000000	0.991806
4.500000	0.020000	-0.100000	4400.000000	0.926569
6.750000	0.020000	-0.100000	4400.000000	0.963876
10.130000	0.020000	-0.100000	4400.000000	0.821258
2.000000	0.040000	-0.100000	4400.000000	0.966908
3.000000	0.040000	-0.100000	4400.000000	0.955566
4.500000	0.040000	-0.100000	4400.000000	0.924381
6.750000	0.040000	-0.100000	4400.000000	0.966141
10.130000	0.040000	-0.100000	4400.000000	0.826021
2.000000	0.080000	-0.100000	4400.000000	0.960244
3.000000	0.080000	-0.100000	4400.000000	0.946484
4.500000	0.080000	-0.100000	4400.000000	0.921018
6.750000	0.080000	-0.100000	4400.000000	0.971097
10.130000	0.080000	-0.100000	4400.000000	0.853272
2.000000	0.160000	-0.100000	4400.000000	0.951178
3.000000	0.160000	-0.100000	4400.000000	0.933796
4.500000	0.160000	-0.100000	4400.000000	0.917572
6.750000	0.160000	-0.100000	4400.000000	0.976050
10.130000	0.160000	-0.100000	4400.000000	0.887566
2.000000	0.320000	-0.100000	4400.000000	0.949464
3.000000	0.320000	-0.100000	4400.000000	0.930393
4.500000	0.320000	-0.100000	4400.000000	0.916243
6.750000	0.320000	-0.100000	4400.000000	0.979492
10.130000	0.320000	-0.100000	4400.000000	0.923506
2.000000	0.640000	-0.100000	4400.000000	0.949796
3.000000	0.640000	-0.100000	4400.000000	0.931536
4.500000	0.640000	-0.100000	4400.000000	0.925344
6.750000	0.640000	-0.100000	4400.000000	0.981422
10.130000	0.640000	-0.100000	4400.000000	0.956404
2.000000	1.280000	-0.100000	4400.000000	0.953649
3.000000	1.280000	-0.100000	4400.000000	0.942826
4.500000	1.280000	-0.100000	4400.000000	0.946439
6.750000	1.280000	-0.100000	4400.000000	0.982336
10.130000	1.280000	-0.100000	4400.000000	0.980546
15.190000	1.280000	-0.100000	4400.000000	0.992775
2.000000	2.560000	-0.100000	4400.000000	0.966786
3.000000	2.560000	-0.100000	4400.000000	0.964802
4.500000	2.560000	-0.100000	4400.000000	0.969508
6.750000	2.560000	-0.100000	4400.000000	0.984809
10.130000	2.560000	-0.100000	4400.000000	0.991207
15.190000	2.560000	-0.100000	4400.000000	0.991805
4.500000	0.020000	-0.100000	4100.000000	0.926646
6.750000	0.020000	-0.100000	4100.000000	0.963520
10.130000	0.020000	-0.100000	4100.000000	0.815149
2.000000	0.040000	-0.100000	4100.000000	0.966903
3.000000	0.040000	-0.100000	4100.000000	0.955561
4.500000	0.040000	-0.100000	4100.000000	0.924405
6.750000	0.040000	-0.100000	4100.000000	0.965759
10.130000	0.040000	-0.100000	4100.000000	0.821089
2.000000	0.080000	-0.100000	4100.000000	0.960237
3.000000	0.080000	-0.100000	4100.000000	0.946478
4.500000	0.080000	-0.100000	4100.000000	0.921007
6.750000	0.080000	-0.100000	4100.000000	0.970889
10.130000	0.080000	-0.100000	4100.000000	0.848722
2.000000	0.160000	-0.100000	4100.000000	0.951168
3.000000	0.160000	-0.100000	4100.000000	0.933787
4.500000	0.160000	-0.100000	4100.000000	0.917563
6.750000	0.160000	-0.100000	4100.000000	0.975934
10.130000	0.160000	-0.100000	4100.000000	0.884284
2.000000	0.320000	-0.100000	4100.000000	0.949451
3.000000	0.320000	-0.100000	4100.000000	0.930383
4.500000	0.320000	-0.100000	4100.000000	0.916235
6.750000	0.320000	-0.100000	4100.000000	0.979425
10.130000	0.320000	-0.100000	4100.000000	0.921496
2.000000	0.640000	-0.100000	4100.000000	0.949784
3.000000	0.640000	-0.100000	4100.000000	0.931527
4.500000	0.640000	-0.100000	4100.000000	0.925337
6.750000	0.640000	-0.100000	4100.000000	0.981393
10.130000	0.640000	-0.100000	4100.000000	0.955415
2.000000	1.280000	-0.100000	4100.000000	0.953635
3.000000	1.280000	-0.100000	4100.000000	0.942815
