# iter time(ns) max_DgradR max_DgradZ max_vRrho max_vZrho
154 11.756 1.9269891347e-02 2.8994998242e-02 8.4863645738e+00 7.6071451170e+00
155 11.833 1.9128225153e-02 2.8728010388e-02 8.4392453419e+00 7.5649076158e+00
156 11.910 1.8838809491e-02 2.8692167623e-02 8.3962020588e+00 7.5178165974e+00
157 11.988 1.8750041834e-02 2.8436568860e-02 8.3344082814e+00 7.4624874996e+00
158 12.065 1.8649584116e-02 2.8022938489e-02 8.2842294641e+00 7.4177617101e+00
159 12.142 1.8404801970e-02 2.8018986036e-02 8.2493954671e+00 7.3782603916e+00
160 12.220 1.8271171400e-02 2.7843638986e-02 8.1964138015e+00 7.3308735829e+00
161 12.297 1.8184386775e-02 2.7504694909e-02 8.1328934887e+00 7.2742894159e+00
162 12.374 1.7982152331e-02 2.7325759061e-02 8.1057547266e+00 7.2418958165e+00
163 12.452 1.7830772300e-02 2.7228906015e-02 8.0610348556e+00 7.2019419001e+00
164 12.529 1.7733097408e-02 2.6970587937e-02 7.9852210861e+00 7.1344604971e+00
165 12.606 1.7569514287e-02 2.6730432813e-02 7.9650048448e+00 7.1084644742e+00
166 12.684 1.7403071056e-02 2.6604196272e-02 7.9278433573e+00 7.0752992572e+00
167 12.761 1.7294824526e-02 2.6418106507e-02 7.8504383448e+00 7.0062182218e+00
168 12.838 1.7168196280e-02 2.6254690463e-02 7.8247362865e+00 6.9743180833e+00
169 12.916 1.6986888964e-02 2.5967062255e-02 7.7940446120e+00 6.9469620814e+00
170 12.993 1.6888678888e-02 2.5849419115e-02 7.7247294784e+00 6.8851803457e+00
171 13.070 1.6778006349e-02 2.5757326697e-02 7.6855213338e+00 6.8343956846e+00
172 13.148 1.6583781142e-02 2.5490177176e-02 7.6614768483e+00 6.8130139825e+00
173 13.225 1.6518269814e-02 2.5256073159e-02 7.6000475750e+00 6.7583876348e+00
174 13.302 1.6394164996e-02 2.5232194469e-02 7.5484005080e+00 6.6970246913e+00
175 13.380 1.6215428414e-02 2.5036721135e-02 7.5313581150e+00 6.6819044911e+00
176 13.457 1.6156224993e-02 2.4719623485e-02 7.4780622011e+00 6.6346197649e+00
177 13.534 1.6015365615e-02 2.4671859840e-02 7.4308737400e+00 6.5794121014e+00
178 13.612 1.5868642418e-02 2.4545104455e-02 7.4036744951e+00 6.5535986870e+00
